id_riga,data,anno,mese,comune,comune_istat,provincia,località,lat,lon,tipologia,codice_colore,dist_comune_km,comune_da_coordinate,flag_coord,flag_coord_bassa_precisione,flag_possibile_duplicato,gruppo_duplicato,flag_località_incompleta,meteo_punto,meteo_lat,meteo_lon,fwi_cella_lat,fwi_cella_lon,fwi_dist_cella_km,fwi,fwi_classe,temp_max_c,temp_ore12_c,umidita_min_pct,umidita_media_pct,umidita_ore12_pct,vento_max_kmh,vento_ore12_kmh,raffica_max_kmh,dir_vento_ore12_gradi,dir_vento_max_gradi,pioggia_giorno_mm,pioggia_giorno_prima_mm,meteo_quota_m,vento_ore12_nome,fuoco_spinto_verso
0,2024-04-07,2024,4,Gravina in Puglia,72023,BA,C.da Albanello,40.788722,16.438278,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.79,16.44,40.7,16.35,12.530240681228314,23.610847,alta,25.4,23.6,32,58.75,38.0,13.4,12.1,28.1,330.0,5,0.0,0.0,389.0,Maestrale (NO),SE
1,2024-05-06,2024,5,Altamura,72004,BA,Sant'Antonio,40.88,16.68025,Bosco,Arancione,0.0,Altamura,ok,True,False,-1,False,incendio,40.88,16.68,40.95,16.6,10.268924095905051,21.68082,alta,23.1,21.6,41,65.29166666666667,47.0,15.0,13.7,36.7,175.0,163,0.0,0.3,455.0,Ostro (S),N
2,2024-06-10,2024,6,Gioia del Colle,72021,BA,S.C. Casotta,40.816099,16.902061,Macchia,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.82,16.9,40.7,16.85,13.966491110523243,56.078846,estrema,32.1,31.5,26,50.91666666666666,28.0,22.2,20.9,47.5,224.0,223,0.2,0.0,348.0,Libeccio (SO),NE
3,2024-06-11,2024,6,Grumo Appula,72024,BA,Quadrifoglio,40.912644,16.695124,Macchia,Arancione,0.0,Grumo Appula,ok,False,False,-1,False,incendio,40.91,16.7,40.95,16.6,9.491257586765244,37.131897,alta,30.3,29.8,34,52.29166666666666,34.0,19.3,10.4,36.4,284.0,233,0.0,0.0,347.0,Ponente (O),E
4,2024-06-18,2024,6,Gravina in Puglia,72023,BA,Masseria Lorusso,40.773349,16.48619,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.77,16.49,40.7,16.6,12.078141218011424,43.025063,molto alta,33.5,32.5,24,37.04166666666666,25.0,15.8,7.3,33.5,33.0,45,0.0,0.0,410.0,Grecale (NE),SO
5,2024-06-20,2024,6,Acquaviva delle Fonti,72001,BA,sp82,40.852028,16.879389,Bosco,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.85,16.88,40.95,16.85,11.382215326492569,68.83377,estrema,34.2,33.3,26,40.66666666666666,27.0,22.7,20.2,49.0,357.0,358,0.0,0.0,335.0,Tramontana (N),S
6,2024-06-20,2024,6,Santeramo in Colle,72041,BA,Lagopalumbo,40.796966,16.794257,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.8,16.79,40.7,16.85,12.191291982018944,67.95877,estrema,34.3,33.0,26,36.208333333333336,26.0,22.8,22.0,49.0,5.0,5,0.0,0.0,431.0,Tramontana (N),S
7,2024-06-21,2024,6,Santeramo in Colle,72041,BA,Bosco del Santissimo,40.774167,16.700556,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.77,16.7,40.7,16.6,11.44732110861824,45.02539,molto alta,37.5,36.1,23,36.375,25.0,16.3,11.4,32.8,35.0,6,0.0,0.0,408.0,Grecale (NE),SO
8,2024-06-27,2024,6,Ruvo di Puglia,72038,BA,Patanella,41.038889,16.425556,Bosco,Arancione,0.0,Ruvo di Puglia,ok,False,False,-1,False,incendio,41.04,16.43,40.95,16.35,12.027467952518986,18.453276,moderata,27.5,26.3,39,64.16666666666667,43.0,17.3,12.0,37.4,303.0,291,1.7000000000000002,1.2000000000000002,375.0,Maestrale (NO),SE
9,2024-07-01,2024,7,Acquaviva delle Fonti,72001,BA,masseria primocielo,40.845707,16.804675,Bosco,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.85,16.8,40.95,16.85,11.867371905382852,47.336914,molto alta,36.0,34.3,26,43.29166666666666,31.0,17.5,1.6,41.8,333.0,189,0.0,0.0,429.0,Maestrale (NO),SE
10,2024-07-09,2024,7,Corato,72020,BA,Zecchinello,41.023,16.3445,Macchia,Arancione,0.0,Corato,ok,False,False,-1,False,incendio,41.02,16.34,40.95,16.35,7.8150023460970255,49.589844,molto alta,32.5,31.1,31,52.0,34.0,18.0,10.7,38.9,340.0,29,0.0,0.0,493.0,Tramontana (N),S
11,2024-07-09,2024,7,Gioia del Colle,72021,BA,sp 51 bosco Romanazzi,40.744681,16.82063,Bosco,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.74,16.82,40.7,16.85,5.106807805201441,51.717773,estrema,34.6,33.2,25,47.375,28.0,20.3,14.4,42.5,356.0,12,0.0,0.0,376.0,Tramontana (N),S
12,2024-07-13,2024,7,Gravina in Puglia,72023,BA,sp 201 masseria lorusso,40.773582,16.48631,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.77,16.49,40.7,16.6,12.078141218011424,45.581055,molto alta,39.4,37.3,17,40.208333333333336,24.0,16.3,7.9,33.5,196.0,155,0.0,0.0,410.0,Ostro (S),N
13,2024-07-16,2024,7,Gioia del Colle,72021,BA,sp 82 - vicinanze autodemolizione santoiemma,40.834252,16.900644,Bosco,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.83,16.9,40.95,16.85,13.966300686978697,64.28125,estrema,36.5,35.7,23,37.625,24.0,17.7,10.9,38.5,9.0,20,0.0,0.0,338.0,Tramontana (N),S
14,2024-07-17,2024,7,Santeramo in Colle,72041,BA,La Pietà,40.782778,16.753889,Macchia,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.78,16.75,40.7,16.85,12.22707609371986,62.146484,estrema,36.0,35.4,23,37.458333333333336,23.0,18.9,15.5,41.0,3.0,24,0.0,0.0,496.0,Tramontana (N),S
15,2024-07-20,2024,7,Grumo Appula,72024,BA,gautieri,40.9583,16.656255,Bosco,Arancione,0.0,Grumo Appula,ok,False,False,-1,False,incendio,40.96,16.66,40.95,16.6,5.150448026220976,45.48633,molto alta,36.2,36.2,25,52.54166666666666,25.0,18.2,7.4,40.7,209.0,18,3.2,0.0,348.0,Libeccio (SO),NE
16,2024-07-20,2024,7,Toritto,72044,BA,le sentinelle caselle di cristo,40.945833,16.601667,Bosco,Arancione,0.0,Toritto,ok,False,False,-1,False,incendio,40.95,16.6,40.95,16.6,0.0,45.48633,molto alta,35.4,35.0,27,54.79166666666666,28.0,19.8,9.8,42.1,204.0,37,1.0,0.0,400.0,Libeccio (SO),NE
17,2024-07-21,2024,7,Gravina in Puglia,72023,BA,Parco Grottesolagne,40.828891,16.41922,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.83,16.42,40.95,16.35,14.559783774597424,42.302185,molto alta,34.7,32.9,24,59.54166666666666,30.0,13.7,8.9,33.8,302.0,2,0.7,0.2,397.0,Maestrale (NO),SE
18,2024-07-21,2024,7,Santeramo in Colle,72041,BA,Bosco di Vallata,40.752476,16.792555,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.75,16.79,40.7,16.85,7.500559149700022,30.655703,alta,36.0,32.7,24,68.58333333333333,36.0,24.0,4.8,52.2,347.0,17,1.5,0.2,437.0,Tramontana (N),S
19,2024-07-24,2024,7,Santeramo in Colle,72041,BA,bosco la gravinella,40.750278,16.765278,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.75,16.77,40.7,16.85,8.721090024445797,46.977486,molto alta,32.5,32.5,32,51.75,33.0,18.8,15.9,47.2,327.0,324,0.6,0.4,453.0,Maestrale (NO),SE
20,2024-07-25,2024,7,Sannicandro di Bari,72040,BA,,40.97622,16.807098,Macchia,Arancione,0.0,Sannicandro di Bari,ok,False,False,-1,False,incendio,40.98,16.81,40.95,16.85,4.7248614225671615,44.011528,molto alta,30.7,30.4,35,54.5,40.0,18.0,17.3,40.0,356.0,3,0.1,0.8999999999999999,190.0,Tramontana (N),S
21,2024-07-25,2024,7,Altamura,72004,BA,Bosco Vuccolo,40.784311,16.545081,Macchia,Arancione,0.0,Altamura,ok,False,False,-1,False,incendio,40.78,16.55,40.7,16.6,9.824263201400978,33.404106,alta,31.8,31.2,29,49.5,33.0,18.8,16.6,40.3,1.0,12,0.0,0.6,404.0,Tramontana (N),S
22,2024-07-26,2024,7,Noci,72031,BA,ristorante Bonelli,40.733637,17.029966,Bosco,Arancione,0.0,Noci,ok,False,False,-1,False,incendio,40.73,17.03,40.7,17.1,6.764468415645387,52.95215,estrema,31.0,30.0,24,44.91666666666666,31.0,23.5,21.7,43.9,349.0,354,0.0,0.0,365.0,Tramontana (N),S
23,2024-07-27,2024,7,Gravina in Puglia,72023,BA,Via Guardialto - sportland centro sportivo,40.813889,16.430833,Macchia,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.81,16.43,40.7,16.35,13.937622802528436,43.438477,molto alta,34.9,33.3,18,39.625,19.0,14.5,5.5,33.8,23.0,30,0.0,0.0,431.0,Grecale (NE),SO
24,2024-08-01,2024,8,Putignano,72036,BA,Sanatorio,40.82466,17.106536,Bosco,Arancione,0.0,Putignano,ok,False,False,-1,False,incendio,40.82,17.11,40.7,17.1,13.346460915074283,45.58789,molto alta,34.4,32.8,17,40.25,17.0,14.6,6.9,32.0,47.0,38,0.0,0.0,347.0,Grecale (NE),SO
25,2024-08-02,2024,8,Casamassima,72015,BA,"Parco delle sorbe, SS100",40.91975,16.935333,Bosco,Arancione,0.0,Casamassima,ok,False,False,-1,False,incendio,40.92,16.94,40.95,16.85,8.250555044869955,48.82567,molto alta,37.0,37.0,22,36.625,22.0,15.2,4.0,35.6,5.0,31,0.0,0.0,250.0,Tramontana (N),S
26,2024-08-06,2024,8,Noci,72031,BA,Zona G/73 nei pressi del ristorante BAMI',40.779755,17.136737,Macchia,Arancione,0.0,Noci,ok,False,False,-1,False,incendio,40.78,17.14,40.7,17.1,9.495152361508207,43.757874,molto alta,32.2,31.6,27,49.5,27.0,14.8,14.8,32.4,1.0,1,0.0,0.0,414.0,Tramontana (N),S
27,2024-08-08,2024,8,Gravina in Puglia,72023,BA,LA CAVALLERIZZA,40.793034,16.461908,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.79,16.46,40.7,16.35,13.61092277197173,42.139664,molto alta,35.6,34.4,28,54.04166666666666,30.0,16.8,4.4,34.9,351.0,15,11.8,0.5,423.0,Tramontana (N),S
28,2024-08-12,2024,8,Gravina in Puglia,72023,BA,via Spinazzola,40.827509,16.416624,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.83,16.42,40.95,16.35,14.559783774597424,44.368164,molto alta,36.1,34.1,18,43.29166666666666,21.0,16.0,3.0,32.8,104.0,54,0.0,0.0,397.0,Levante (E),O
29,2024-08-12,2024,8,Santeramo in Colle,72041,BA,SP235 De Nora,40.788681,16.699662,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.79,16.7,40.7,16.6,13.054723970182769,40.871094,molto alta,35.2,33.6,22,46.458333333333336,23.0,16.3,5.4,36.4,48.0,45,0.0,0.0,450.0,Grecale (NE),SO
30,2024-08-15,2024,8,Modugno,72027,BA,Strada Vicinale Lama Risotti 70026 Modugno,41.068943,16.778879,Macchia,Arancione,0.0,Modugno,ok,False,False,-1,False,incendio,41.07,16.78,40.95,16.85,14.551183381235472,50.293335,estrema,35.2,35.0,36,54.29166666666666,36.0,14.3,8.9,33.5,27.0,25,0.0,0.0,89.0,Grecale (NE),SO
31,2024-08-24,2024,8,Corato,72020,BA,Pedale - Cornacchiello,41.066088,16.371227,Macchia,Arancione,0.0,Corato,ok,False,False,-1,False,incendio,41.07,16.37,40.95,16.35,13.42473786554936,23.596191,alta,32.3,31.5,35,48.41666666666666,37.0,11.4,6.3,28.4,13.0,13,0.1,0.4,362.0,Tramontana (N),S
32,2024-09-01,2024,9,Altamura,72004,BA,Monte Castiglione,40.879167,16.444167,Bosco,Arancione,0.0,Altamura,ok,False,False,-1,False,incendio,40.88,16.44,40.95,16.35,10.83626410851281,29.097034,alta,32.8,31.9,23,40.458333333333336,25.0,18.2,8.6,37.4,345.0,27,0.0,0.0,526.0,Tramontana (N),S
33,2024-09-04,2024,9,Acquaviva delle Fonti,72001,BA,Collone c/o miulli,40.861431,16.800498,Bosco,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.86,16.8,40.95,16.85,10.836018459969091,4.5137405,molto bassa,30.8,29.4,36,65.58333333333333,40.0,12.0,6.5,33.5,93.0,81,1.4,1.0,402.0,Levante (E),O
34,2024-09-16,2024,9,Gravina in Puglia,72023,BA,Canale Pizzi Pippo,40.79346,16.37992,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.79,16.38,40.7,16.35,10.30322350598984,24.479904,alta,21.1,18.4,42,65.79166666666667,54.0,15.3,4.6,28.8,309.0,315,0.3,0.0,418.0,Maestrale (NO),SE
35,2024-09-27,2024,9,Cassano delle Murge,72016,BA,Rossani,40.86561,16.756233,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.87,16.76,40.95,16.85,11.658617326957552,13.550989,moderata,28.6,26.8,42,64.33333333333333,46.0,15.6,10.5,32.8,184.0,186,0.0,0.0,421.0,Ostro (S),N
36,2024-09-28,2024,9,Cassano delle Murge,72016,BA,Rossani,40.864444,16.756944,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.86,16.76,40.95,16.85,12.525425950837116,15.301753,moderata,29.9,28.0,36,69.875,42.0,15.9,13.2,36.7,214.0,260,0.7,0.0,470.0,Libeccio (SO),NE
37,2024-09-30,2024,9,Corato,72020,BA,Piede piccolo- Posta Mangeri,41.048694,16.303083,Macchia,Arancione,0.0,Corato,ok,False,False,-1,False,incendio,41.05,16.3,40.95,16.35,11.862886150285735,22.057814,alta,18.4,17.0,40,58.0,41.0,19.0,17.7,40.7,327.0,325,0.0,0.1,504.0,Maestrale (NO),SE
38,2024-10-01,2024,10,Gravina in Puglia,72023,BA,Valloni,40.800144,16.383148,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.8,16.38,40.7,16.35,11.38263590069092,19.693874,moderata,24.4,22.8,32,55.41666666666666,35.0,13.4,9.9,25.2,316.0,57,0.0,0.0,415.0,Maestrale (NO),SE
39,2024-10-02,2024,10,Triggiano,72046,BA,Lama San Giorgio,41.091484,16.9529,Macchia,Arancione,0.0,Triggiano,ok,False,False,-1,False,incendio,41.09,16.95,41.2,16.85,14.801052752132891,15.123715,moderata,27.9,26.5,41,64.20833333333333,44.0,26.8,15.1,47.9,172.0,193,0.0,0.0,17.0,Ostro (S),N
40,2023-06-21,2023,6,Cassano delle Murge,72016,BA,Bosco di Grottagiglio,40.920851,16.791339,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.92,16.79,40.95,16.85,6.034448646394378,17.870596,moderata,31.9,30.3,32,51.54166666666666,37.0,13.9,10.9,31.7,354.0,350,0.0,0.0,288.0,Tramontana (N),S
41,2023-06-24,2023,6,Acquaviva delle Fonti,72001,BA,Grotta Giglio Bosco Perillo,40.9225,16.799722,Macchia,Arancione,0.014,Cassano delle Murge,vicino_confine,False,False,-1,False,incendio,40.92,16.8,40.95,16.85,5.355013646754198,18.91211,moderata,29.4,29.4,39,63.29166666666666,48.0,15.4,9.2,35.6,11.0,349,2.4,0.0,280.0,Tramontana (N),S
42,2023-06-24,2023,6,Cassano delle Murge,72016,BA,Bosco Grottagiglio,40.918667,16.786194,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.92,16.79,40.95,16.85,6.034448646394378,18.91211,moderata,29.4,29.4,39,63.29166666666666,48.0,15.4,9.2,35.6,11.0,349,2.4,0.0,288.0,Tramontana (N),S
43,2023-07-01,2023,7,Bitonto,72011,BA,Pietre Tagliate,40.980236,16.522459,Bosco,Arancione,0.0,Bitonto,ok,False,False,-1,False,incendio,40.98,16.52,40.95,16.6,7.485356494507308,18.238281,moderata,28.0,27.4,39,71.375,52.0,22.2,9.7,45.4,243.0,245,1.7,1.3,389.0,Libeccio (SO),NE
44,2023-07-08,2023,7,Rutigliano,72037,BA,L'Annunziata,40.972846,16.980844,Bosco,Arancione,0.0,Rutigliano,ok,False,False,-1,False,incendio,40.97,16.98,40.95,17.1,10.299407753870444,27.292412,alta,29.2,28.2,42,65.0,43.0,15.5,14.8,36.4,342.0,355,0.0,0.0,179.0,Tramontana (N),S
45,2023-07-12,2023,7,Acquaviva delle Fonti,72001,BA,Parco della Chiesa,40.944,16.854806,Macchia,Arancione,0.0,Acquaviva delle Fonti,ok,False,False,-1,False,incendio,40.94,16.85,40.95,16.85,1.110000000000568,40.096157,molto alta,37.9,36.1,28,41.708333333333336,33.0,21.1,4.8,45.0,207.0,188,0.0,0.0,245.0,Libeccio (SO),NE
46,2023-07-12,2023,7,Cassano delle Murge,72016,BA,via bari c/o depuratore,40.904833,16.780139,Macchia,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.9,16.78,40.95,16.85,8.080495725873522,40.096157,molto alta,35.4,34.4,33,45.54166666666666,36.0,20.6,10.4,45.7,200.0,184,0.0,0.0,306.0,Ostro (S),N
47,2023-07-16,2023,7,Grumo Appula,72024,BA,Mellitto,40.957111,16.679389,Bosco,Arancione,0.0,Grumo Appula,ok,False,False,-1,False,incendio,40.96,16.68,40.95,16.6,6.797132875402197,35.083984,alta,35.0,33.7,31,48.25,35.0,13.3,8.3,32.0,18.0,19,0.0,0.0,331.0,Tramontana (N),S
48,2023-07-18,2023,7,Altamura,72004,BA,"pulo, PARCO DELLA MENA",40.901173,16.59421,Macchia,Arancione,0.0,Altamura,ok,False,False,-1,False,incendio,40.9,16.59,40.95,16.6,5.61305768317187,51.92383,estrema,35.5,35.1,27,40.41666666666666,29.0,18.8,14.1,41.0,3.0,3,0.0,0.0,482.0,Tramontana (N),S
49,2023-07-20,2023,7,Gioia del Colle,72021,BA,SP51 - Corvello,40.7529,16.829146,Bosco,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.75,16.83,40.7,16.85,5.799218218941496,55.71289,estrema,39.8,38.1,16,34.208333333333336,18.0,13.4,9.4,29.9,4.0,284,0.0,0.0,386.0,Tramontana (N),S
50,2023-07-20,2023,7,Cassano delle Murge,72016,BA,La Vecchiaia,40.873557,16.817537,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.87,16.82,40.95,16.85,9.230135174022369,58.442383,estrema,37.9,36.1,22,42.083333333333336,26.0,16.4,12.8,37.4,11.0,19,0.0,0.0,340.0,Tramontana (N),S
51,2023-07-22,2023,7,Gravina in Puglia,72023,BA,GRAVIGLIONE,40.844333,16.393,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.84,16.39,40.95,16.35,12.663616969460774,61.12245,estrema,39.7,37.1,16,28.25,22.0,22.4,12.2,49.7,272.0,259,0.0,0.0,342.0,Ponente (O),E
52,2023-07-22,2023,7,Santeramo in Colle,72041,BA,Bosco parata (ex Viglione),40.758685,16.738841,Bosco,Arancione,0.0,Santeramo in Colle,ok,False,False,-1,False,incendio,40.76,16.74,40.7,16.85,11.396926408828095,57.374405,estrema,39.0,36.2,16,37.41666666666666,23.0,20.8,12.4,42.8,262.0,260,0.2,0.0,485.0,Ponente (O),E
53,2023-07-24,2023,7,Bari,72006,BA,Lama Balice-via Bonomo,41.1325,16.798611,Canneto,Giallo,0.0,Bari,ok,False,False,-1,False,incendio,41.13,16.8,41.2,16.85,8.82317173049148,24.456606,alta,40.8,39.2,22,42.333333333333336,28.0,21.3,7.9,43.9,60.0,183,0.0,0.0,18.0,Grecale (NE),SO
54,2023-07-25,2023,7,Bitonto,72011,BA,bella veduta,41.012097,16.54799,Macchia,Arancione,0.0,Bitonto,ok,False,False,-1,False,incendio,41.01,16.55,40.95,16.6,7.867335372259252,90.16463,estrema,41.5,41.0,14,27.45833333333333,14.0,25.3,20.7,55.8,219.0,234,0.0,0.0,319.0,Libeccio (SO),NE
55,2023-07-28,2023,7,Triggiano,72046,BA,CONTRADA GIANNAVELLA,41.086494,16.952211,Macchia,Arancione,0.0,Triggiano,ok,False,False,-1,False,incendio,41.09,16.95,41.2,16.85,14.801052752132891,32.29297,alta,30.0,30.0,33,46.5,41.0,23.3,15.5,49.0,68.0,77,0.0,0.1,17.0,Levante (E),O
56,2023-08-03,2023,8,Cassano delle Murge,72016,BA,costone di bruno,40.880667,16.765111,Bosco,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.88,16.77,40.95,16.85,10.268924095905248,42.225273,molto alta,33.2,30.8,34,54.375,36.0,18.9,9.7,40.0,184.0,166,0.0,0.0,423.0,Ostro (S),N
57,2023-08-03,2023,8,Altamura,72004,BA,SS99 Via Matera,40.812492,16.558096,Bosco,Arancione,0.0,Altamura,ok,False,False,-1,False,incendio,40.81,16.56,40.7,16.6,12.664020188960178,44.307304,molto alta,32.7,30.5,33,56.458333333333336,36.0,17.1,5.8,36.4,184.0,172,0.0,0.0,438.0,Ostro (S),N
58,2023-08-06,2023,8,Altamura,72004,BA,VIA CARPENTINO,40.811111,16.575,Bosco,Arancione,0.0,Altamura,ok,False,False,-1,False,incendio,40.81,16.58,40.7,16.6,12.325073096602596,30.11772,alta,28.9,26.8,33,55.54166666666666,40.0,20.6,16.2,43.2,269.0,266,0.0,3.4000000000000004,395.0,Ponente (O),E
59,2023-08-08,2023,8,Bari,72006,BA,Lama Balice via dei Fiordalisi,41.117778,16.756667,Macchia,Arancione,0.0,Bari,ok,False,False,-1,False,incendio,41.12,16.76,41.2,16.85,11.640109437270532,12.027239,moderata,26.4,26.0,38,57.79166666666666,45.0,21.8,19.0,40.0,350.0,301,1.4,3.8,41.0,Tramontana (N),S
60,2023-08-26,2023,8,Gioia del Colle,72021,BA,via del medico S.P.106,40.812618,16.912239,Macchia,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.81,16.91,40.7,16.85,13.209619280258504,41.73338,molto alta,35.1,33.2,28,49.41666666666666,31.0,12.6,0.8,28.1,207.0,27,0.0,0.0,354.0,Libeccio (SO),NE
61,2023-08-26,2023,8,Poggiorsini,72034,BA,Diga del Basentello SP26,40.88161,16.227671,Canneto,Giallo,0.0,Poggiorsini,ok,False,False,-1,False,incendio,40.88,16.23,40.95,16.35,12.71999134027964,39.729473,molto alta,37.7,35.4,19,43.333333333333336,28.0,14.8,3.9,29.2,326.0,45,0.0,0.0,281.0,Maestrale (NO),SE
62,2023-08-27,2023,8,Casamassima,72015,BA,Parco delle sorbe,40.922667,16.934565,Bosco,Arancione,0.0,Casamassima,ok,False,False,-1,False,incendio,40.92,16.93,40.95,16.85,7.490815320225171,46.069138,molto alta,38.1,36.2,23,45.875,29.0,17.6,9.0,33.8,185.0,179,0.0,0.0,253.0,Ostro (S),N
63,2023-08-27,2023,8,Gravina in Puglia,72023,BA,,40.831777,16.400326,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.83,16.4,40.95,16.35,13.966300686978697,46.891403,molto alta,37.8,35.4,17,44.66666666666666,29.0,19.3,9.8,41.4,163.0,143,0.0,0.0,351.0,Ostro (S),N
64,2023-08-31,2023,8,Gravina in Puglia,72023,BA,"Calandrella, sp.53",40.778492,16.449656,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.78,16.45,40.7,16.35,12.227076093719653,38.90039,molto alta,28.9,27.5,23,54.583333333333336,30.0,20.3,13.8,40.7,285.0,276,0.0,0.6,320.0,Ponente (O),E
65,2023-09-04,2023,9,Bitonto,72011,BA,bosco Rogadeo,40.981167,16.48875,Bosco,Arancione,0.0,Bitonto,ok,False,False,-1,False,incendio,40.98,16.49,40.95,16.6,9.800853505430096,69.019775,estrema,23.7,23.5,40,58.75,44.0,32.8,32.1,67.3,2.0,4,1.6,0.0,436.0,Tramontana (N),S
66,2023-09-04,2023,9,Cassano delle Murge,72016,BA,Masseria Lopez,40.870278,16.776389,Macchia,Arancione,0.0,Cassano delle Murge,ok,False,False,-1,False,incendio,40.87,16.78,40.95,16.85,10.64789165988103,68.34204,estrema,24.0,23.7,41,56.75,46.0,32.5,31.4,67.0,3.0,4,0.1,0.0,388.0,Tramontana (N),S
67,2023-09-05,2023,9,Gravina in Puglia,72023,BA,La Calandrella,40.781972,16.44725,Canneto,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.78,16.45,40.7,16.35,12.227076093719653,61.468243,estrema,27.2,26.6,35,53.625,45.0,27.9,27.4,57.6,19.0,20,0.0,0.0,320.0,Tramontana (N),S
68,2023-09-06,2023,9,Gioia del Colle,72021,BA,Montursi,40.729669,16.852424,Bosco,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.73,16.85,40.7,16.85,3.329999999999337,52.751953,estrema,26.8,25.9,39,57.54166666666666,46.0,25.2,23.8,51.5,38.0,43,0.0,0.1,392.0,Grecale (NE),SO
69,2023-09-07,2023,9,Gravina in Puglia,72023,BA,Caprariccia,40.718667,16.42325,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.72,16.42,40.7,16.35,6.293484956797521,47.47756,molto alta,28.6,28.4,41,57.91666666666666,46.0,21.7,18.1,46.1,31.0,50,0.0,0.0,376.0,Grecale (NE),SO
70,2023-09-07,2023,9,Gioia del Colle,72021,BA,Montursi,40.729155,16.853136,Bosco,Arancione,0.0,Gioia del Colle,ok,False,False,-1,False,incendio,40.73,16.85,40.7,16.85,3.329999999999337,48.15334,molto alta,27.7,27.6,42,64.29166666666667,43.0,26.7,18.3,53.6,43.0,43,0.0,0.0,392.0,Grecale (NE),SO
71,2023-09-10,2023,9,Bitonto,72011,BA,Rogadeo,40.967056,16.540139,Bosco,Arancione,0.0,Bitonto,ok,False,False,-1,False,incendio,40.97,16.54,40.95,16.6,5.496885483628132,40.74121,molto alta,27.5,26.8,38,57.333333333333336,40.0,16.1,13.9,37.1,17.0,20,0.0,0.3,422.0,Tramontana (N),S
72,2023-09-10,2023,9,Gravina in Puglia,72023,BA,"ss96, c.da Salsa",40.803441,16.437398,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.8,16.44,40.7,16.35,13.431291837697575,45.5625,molto alta,29.4,28.7,31,53.54166666666666,33.0,16.7,14.7,37.1,25.0,25,0.0,0.0,434.0,Grecale (NE),SO
73,2023-09-11,2023,9,Gravina in Puglia,72023,BA,Contrada Coluni,40.787751,16.450574,Bosco,Arancione,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.79,16.45,40.7,16.35,13.054723970182769,48.198242,molto alta,30.2,29.1,27,47.083333333333336,29.0,14.7,13.7,34.2,23.0,17,0.0,0.0,429.0,Grecale (NE),SO
74,2023-09-12,2023,9,Gravina in Puglia,72023,BA,sp53,40.755856,16.452236,Canneto,Giallo,0.0,Gravina in Puglia,ok,False,False,-1,False,incendio,40.76,16.45,40.7,16.35,10.725909295797749,42.601562,molto alta,33.8,31.4,18,44.5,24.0,17.1,5.1,34.6,176.0,155,0.0,0.0,263.0,Ostro (S),N
